# File: EIA_use_all_Bbtu.csv,,,
# Title: EIA State Energy Data from SEDS,,,
# Units: Energy units in Billion BTU,,,
# Source:  https://www.eia.gov/state/seds/seds-data-complete.php?sid=US,,,
# Column types: ccciiiiiiiiiiiiiiiiinnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn,,,
# ----------,,,
Data_Status,State,MSN,2010
2011F,B,DFTCB,149329
2011F,B,DFTXB,148079
2011F,B,DKEIB,1250
2011F,B,ELEXB,0
2011F,B,ELIMB,0
2011F,B,ELISB,-504978
2011F,B,ELNIB,0
2011F,B,EMACB,14030
2011F,B,EMCCB,10
2011F,B,EMICB,147
2011F,B,EMLCB,0
2011F,B,EMTCB,14188
2011F,B,ESACB,0
2011F,B,ESCCB,78421
2011F,B,ESICB,110377
2011F,B,ESRCB,121226
2011F,B,ESTCB,310023
2011F,B,ESTXB,310023
2011F,B,FFTCB,1821247
2011F,B,FNICB,0
2011F,B,FOICB,0
2011F,B,FSICB,0
2011F,B,GDPRX,151480
2011F,B,GECCB,0
2011F,B,GEEGB,0
2011F,B,GEICB,42
2011F,B,GERCB,96
2011F,B,GETCB,138
2011F,B,GETXB,138
2011F,B,HYCCB,0
2011F,B,HYEGB,84919
2011F,B,HYICB,0
2011F,B,HYTCB,84919
2011F,B,HYTXB,0
2011F,B,JFACB,11948
2011F,B,JFTCB,11948
2011F,B,JFTXB,11948
2011F,B,JKACB,11948
2011F,B,JKTCB,11948
2011F,B,JNACB,0
2011F,B,JNTCB,0
2011F,B,KSCCB,12
2011F,B,KSICB,86
2011F,B,KSRCB,86
2011F,B,KSTCB,183
2011F,B,KSTXB,183
2011F,B,LGACB,256
2011F,B,LGCCB,2514
2011F,B,LGICB,3703
2011F,B,LGRCB,8513
2011F,B,LGTCB,14986
2011F,B,LGTXB,14986
2011F,B,LOACB,0
2011F,B,LOCCB,154354
2011F,B,LOICB,217253
2011F,B,LORCB,238607
2011F,B,LOTCB,610214
2011F,B,LOTXB,610214
2011F,B,LUACB,2420
2011F,B,LUICB,2523
2011F,B,LUTCB,4943
2011F,B,LUTXB,4943
2011F,B,MBICB,0
2011F,B,MGACB,326454
2011F,B,MGCCB,230
2011F,B,MGICB,3431
2011F,B,MGTCB,330116
2011F,B,MGTXB,330116
2011F,B,MMTCB,315928
2011F,B,MSICB,6517
2011F,B,NAICB,0
2011F,B,NGACB,22576
2011F,B,NGCCB,27494
2011F,B,NGEIB,287408
2011F,B,NGICB,170137
2011F,B,NGLPB,22933
2011F,B,NGPZB,22470
2011F,B,NGRCB,42875
2011F,B,NGTCB,550489
2011F,B,NGTXB,263082
2011F,B,NGVHB,107
2011F,B,NNACB,22576
2011F,B,NNCCB,27494
2011F,B,NNEIB,287408
2011F,B,NNICB,170137
2011F,B,NNRCB,42875
2011F,B,NNTCB,550489
2011F,B,NUEGB,396557
2011F,B,NUETB,396557
2011F,B,P1ICB,46683
2011F,B,P1TCB,49576
2011F,B,P1TXB,49576
2011F,B,PAACB,465586
2011F,B,PACCB,9385
2011F,B,PAEIB,1250
2011F,B,PAICB,80737
2011F,B,PARCB,9304
2011F,B,PATCB,566262
2011F,B,PATXB,565012
2011F,B,PCCCB,0
2011F,B,PCEIB,0
2011F,B,PCICB,0
2011F,B,PCTCB,0
2011F,B,PLICB,0
2011F,B,PMTCB,552074
2011F,B,POICB,18028
2011F,B,POTCB,18028
2011F,B,POTXB,18028
2011F,B,PPICB,0
2011F,B,RETCB,245231
2011F,B,RFACB,5836
2011F,B,RFCCB,0
2011F,B,RFEIB,0
2011F,B,RFICB,4472
2011F,B,RFTCB,10308
2011F,B,RFTXB,10308
2011F,B,SFCCB,0
2011F,B,SFEIB,0
2011F,B,SFINB,0
2011F,B,SFRCB,0
2011F,B,SFTCB,0
2011F,B,SGICB,10437
2011F,B,SNICB,604
2011F,B,SOCCB,0
2011F,B,SOEGB,0
2011F,B,SOHCB,129
2011F,B,SOICB,0
2011F,B,SOTCB,129
2011F,B,SOTXB,129
2011F,B,TEACB,488162
2011F,B,TEAPB,102
2011F,B,TECCB,270583
2011F,B,TECPB,57
2011F,B,TEEIB,1425215
2011F,B,TEICB,781258
2011F,B,TEIPB,163
2011F,B,TERCB,418055
2011F,B,TERPB,87
2011F,B,TETCB,1958058
2011F,B,TETGR,12.92
2011F,B,TETPB,409
